Título,Enlace,CVs inscritos,Ubicación,Funciones,Jornada,Experiencia,Tipo contrato,Salario Mínimo,Salario Máximo
PHP (LARAVEL) Developer,https://www.tecnoempleo.com/php-laravel-developer-hibrido/php-laravel-docker-git/rf-26b412c9d291b36a174e,117,Valencia (Híbrido),Analista Programador,Jornada completa,3 años,Indefinido,33000,33000
Desarrolador Magnolia CMS | Teletrabajo,https://www.tecnoempleo.com/desarrolador-magnolia-cms-teletrabajo-remoto/magnolia-cms/rf-d3281dff7262831b3b4d,8,100% En remoto,Analista,Jornada completa,3-5 años,Indefinido,30000,42000
Desarrollador/a C++ - Híbrido,https://www.tecnoempleo.com/desarrollador-c-hibrido-hibrido/c/rf-419a18b3c21173489643,10,Madrid (Híbrido),Analista Programador,Jornada completa,2 años,Indefinido,,
Técnico de Sistemas Informáticos y DBA,https://www.tecnoempleo.com/tecnico-sistemas-informaticos-dba-madrid/sql-server-oracle-mysql/rf-1c081e86f25483a1334e,74,"Madrid											
											 - España",Base de Datos/DBA,Jornada completa,3 años,Indefinido,45000,54000
Display Manager,https://www.tecnoempleo.com/display-manager-madrid/google-analytics-ga4/rf-17d916f8d2728389e143,9,"Madrid											
											 - España",Marketing,Jornada completa,3 años,Indefinido,30000,36000
Técnico de Soporte Senior,https://www.tecnoempleo.com/tecnico-soporte-senior-presencial/soporte-microsoft-365-windows/rf-298e1acac2a3835e1145,66,Madrid (Presencial),Soporte Técnico,Jornada completa,2 años,Indefinido,,
QA Funcional,https://www.tecnoempleo.com/qa-funcional-madrid/qa-testing-scrum/rf-b7261b6c4255836f5142,92,"Madrid											
											 - España",Tester,Jornada completa,2 años,Indefinido,,
IT Operations Analyst,https://www.tecnoempleo.com/it-operations-analyst-presencial/microsoft-cisco-itil/rf-7cf61014623b6380e34b,30,Madrid (Presencial),Redes,Jornada completa,3 años,Indefinido,,
Desarrollador WebMethods (Remoto),https://www.tecnoempleo.com/desarrollador-webmethods-remoto-presencial/webmethods-api-soap-j2ee/rf-c98212d5523863d5c64e,3,Madrid (Presencial),Programador,Jornada completa,2 años,Indefinido,,
Programador/a Java,https://www.tecnoempleo.com/programador-java-hibrido/java-spring-boot/rf-cc8c1d847230e337054e,52,Valencia (Híbrido),Programador,Jornada completa,3 años,Indefinido,27000,36000
Desarrollador/Analista Business Central,https://www.tecnoempleo.com/desarrollador-analista-business-central-barcelona/business-central/rf-5f19153bf21e43507c4c,4,"Barcelona											
											 - España",Analista Programador,Jornada completa,3-5 años,Indefinido,,
Analista Seguridad SOC,https://www.tecnoempleo.com/analista-seguridad-soc-hibrido/ciberseguridad-soc-siem/rf-b60316728210a398d947,34,Bizkaia (Híbrido),Ciberseguridad,Jornada completa,2 años,A determinar,,
Administrador de Sistemas Microsoft On premise,https://www.tecnoempleo.com/administrador-sistemas-microsoft-on-premise-madrid/microsoft-cloud-azure/rf-c97b1da11211f35c2e44,29,Madrid (Presencial),Administrador,Jornada completa,3-5 años,Indefinido,,
Programador/a .NET,https://www.tecnoempleo.com/programador-net-hibrido/net-net-core/rf-f2ba1cf3f2d73393bd46,28,Barcelona (Híbrido),Programador,Jornada completa,2 años,Indefinido,,
Administrador de Sistemas Linux,https://www.tecnoempleo.com/administrador-sistemas-linux-presencial/linux/rf-7685143822da03767044,36,Madrid (Presencial),Administrador,Jornada completa,3 años,Indefinido,,
Senior AEM Developer (Back End),https://www.tecnoempleo.com/senior-aem-developer-back-end-remoto/aem-junit-mockito-git-maven/rf-b9881871c2a703826c4b,7,100% En remoto,Programador,Jornada completa,2 años,Indefinido,,
Especialista red SWIFT,https://www.tecnoempleo.com/especialista-red-swift-madrid/swift/rf-71551768322043678c43,8,Madrid (Híbrido),Consultor,Jornada completa,3 años,Indefinido,,
Director/a de IT (h/m),https://www.tecnoempleo.com/director-it-h-m-gipuzkoa/sap/rf-80b91a8fa21e63a49741,11,"Gipuzkoa											
											 - España",Jefe de Proyecto,Jornada completa,3 años,Indefinido,,
Técnico/a Administración de Sistemas,https://www.tecnoempleo.com/tecnico-administracion-sistemas-presencial/windows-vmware/rf-05cc1bfcb246439b544f,75,Valencia (Presencial),Técnico de Sistemas,Jornada completa,3 años,Indefinido,24000,30000
FullStack JS (React + Node.js),https://www.tecnoempleo.com/fullstack-js-react-nodejs-hibrido/react-node/rf-14391d93d269b355cb4a,96,Barcelona (Híbrido),Programador,Jornada completa,2 años,Indefinido,33000,45000
Consultor SAP MM Senior,https://www.tecnoempleo.com/consultor-sap-mm-senior-madrid/sap-sap-mm/rf-24c4164dc29043ba194b,10,"Madrid											
											 - España",Consultor,Jornada completa,Más de 5 años,Indefinido,,
Head of Algorithms (Lead Data Scientist),https://www.tecnoempleo.com/head-of-algorithms-lead-data-scientist-remoto/python/rf-4a301dde92dd93ffb448,25,100% En remoto,Big Data,Jornada completa,Más de 5 años,Indefinido,,
Functional analyst Seguridad,https://www.tecnoempleo.com/functional-analyst-seguridad-hibrido/analysis-security-gdpr/rf-328b172c621bb39e3b4d,7,Madrid (Híbrido),Analista,Jornada completa,3 años,Indefinido,,
Consultor/a BI (Microsoft),https://www.tecnoempleo.com/consultor-bi-microsoft-hibrido/bi-sql-etl/rf-d0f41a918251439d1d4e,30,Barcelona (Híbrido),Big Data,Jornada completa,3-5 años,Indefinido,39000,54000
IT System Administrator,https://www.tecnoempleo.com/it-system-administrator-barcelona/sql-baramundi-active-directory-veeam/rf-678f1c56f2d0c34e6349,13,"Barcelona											
											 - España",Técnico de Sistemas,Jornada completa,3 años,Indefinido,,
Administrador de Sistemas,https://www.tecnoempleo.com/administrador-sistemas-hibrido/windows-server-o365-ad/rf-699f1085126703402949,63,Madrid (Híbrido),Técnico de Sistemas,Jornada completa,Más de 10 años,Indefinido,48000,60000
Manager de BI y Analytics,https://www.tecnoempleo.com/manager-bi-analytics-madrid/bi-tableau-sql/rf-c35a139822c713bc4d44,26,"Madrid											
											 - España",Jefe de Proyecto,Jornada completa,3-5 años,Indefinido,54000,72000
Responsable de IT (h/m),https://www.tecnoempleo.com/responsable-it-h-m-gipuzkoa/windows-citrix-hyper-v/rf-905c1f5632c073a9f44a,13,"San Sebastián -  
											
											Gipuzkoa											
España",Jefe de Proyecto,Jornada completa,Más de 5 años,Indefinido,39000,42000
Data Business Analyst - PageGroup SSC,https://www.tecnoempleo.com/data-business-analyst-pagegroup-ssc-hibrido/power-bi/rf-b08115e4b2dd5373774c,47,Barcelona (Híbrido),Analista,Jornada completa,1 año,Indefinido,,
Senior PHP Developer,https://www.tecnoempleo.com/senior-php-developer-hibrido/php-symfony-laravel-soap-rest/rf-3d84154e824a43ad1449,82,Madrid (Híbrido),Analista Programador,Jornada completa,3 años,Indefinido,,
FullStack Developer - Javascript,https://www.tecnoempleo.com/fullstack-developer-javascript-hibrido/javascript-typescript-node-vue-next/rf-e14c1db812413356be4a,102,Valencia (Híbrido),Desarrollador Web,Jornada completa,3 años,Indefinido,,
Desarrollador/a C++,https://www.tecnoempleo.com/desarrollador-c-madrid/c-scada-plc/rf-b749192652c3c3e0ec48,11,"Madrid											
											 - España",Programador,Jornada completa,2 años,Indefinido,,
Programador Fullstack (h/m/d),https://www.tecnoempleo.com/programador-fullstack-h-m-d-zaragoza/c-sql/rf-f8481c6432ac83c2de4c,61,"Zaragoza											
											 - España",Programador,Jornada completa,1 año,Indefinido,24000,33000
Global Talent Internship Program 2024,https://www.tecnoempleo.com/global-talent-internship-program-2024-hibrido/informatica-telecomunicacion/rf-5c2f1c53a282c368e249,338,Madrid (Híbrido),Programador,Jornada completa,Sin Experiencia,Prácticas,,
Técnico SAP (h/m/d),https://www.tecnoempleo.com/tecnico-sap-h-m-d-zaragoza/sap/rf-60f818e6e2cfb398cb4d,12,"Zaragoza											
											 - España",Consultor,Jornada completa,3 años,Indefinido,,
E-commerce Manager (H/M/D),https://www.tecnoempleo.com/e-commerce-manager-h-m-d-sevilla/marketing-seo-sem/rf-2eb71a53b23733b27c42,56,"Sevilla											
											 - España",Marketing,Jornada completa,3 años,Indefinido,,
Data Engineer,https://www.tecnoempleo.com/data-engineer-hibrido/etl-ssis-azure-data-factory/rf-cc181cb8e273832ef043,21,Barcelona (Híbrido),Big Data,Jornada completa,3 años,Indefinido,33000,45000
Project Manager - Insurtech Company,https://www.tecnoempleo.com/project-manager-insurtech-company-hibrido/figma-confluence-jira/rf-8efc19a7f275c3d90c42,26,Barcelona (Híbrido),Jefe de Proyecto,Jornada completa,3 años,Indefinido,39000,48000
IT Manager (Family Office),https://www.tecnoempleo.com/it-manager-family-office-barcelona/it-infrastructure-data-bi-erp/rf-2d701020a2efd38dba48,17,"Barcelona											
											 - España",Jefe de Proyecto,Jornada completa,Más de 5 años,Indefinido,,
.NET or C# Developer zona Alzira,https://www.tecnoempleo.com/net-or-c-developer-zona-alzira-hibrido/net-c/rf-a9f91938420783e58a43,30,Valencia (Híbrido),Desarrollador Web,Jornada completa,3-5 años,Indefinido,42000,48000
IT Project Manager - Fintech,https://www.tecnoempleo.com/it-project-manager-fintech-valencia/pmp-prince2-agile/rf-2dcb138492ba932da34c,19,"Valencia											
											 - España",Jefe de Proyecto,Jornada completa,Más de 5 años,Indefinido,,
Desarrollador/a React,https://www.tecnoempleo.com/desarrollador-react-asturias/react-javascript-api-redux-ecmascript-html-cs/rf-1e6413ca2252e394ec4a,178,"Asturias											
											 - España",Programador,Jornada completa,3 años,Indefinido,,
Consultor Funcional Gobierno APIs (REMOTO),https://www.tecnoempleo.com/consultor-funcional-gobierno-apis-remoto-madrid/api/rf-41f61669221cc3751e47,27,100% En remoto,Consultor,Jornada completa,2 años,Indefinido,,
SAP Project Manager (H/M),https://www.tecnoempleo.com/sap-project-manager-h-m-alicante/sap-hana/rf-0b7f14d2126b13b1e74c,6,"Alicante											
											 - España",Jefe de Proyecto,Jornada completa,Más de 5 años,Indefinido,,
Analista Programador JS/Typescript,https://www.tecnoempleo.com/analista-programador-js-typescript-madrid/typescript-html5-css3/rf-16e21ea572c993fb2747,14,"Madrid											
											 - España",Analista Programador,Jornada completa,3 años,Indefinido,30000,42000
Administrador de Sistemas,https://www.tecnoempleo.com/administrador-sistemas-hibrido/windows-server-intune/rf-30801c72f22c83d85041,50,Madrid (Híbrido),Técnico de Sistemas,Jornada completa,3 años,Indefinido,,
Especialista de metodología,https://www.tecnoempleo.com/especialista-metodologia-valladolid/electronica-c-visual-basic-matlab/rf-012f1d07d253b30d834f,7,"Valladolid											
											 - España",Electrónica,Jornada completa,3 años,Indefinido,,
IT Project Manager (Medios de Pago),https://www.tecnoempleo.com/it-project-manager-medios-pago-hibrido/project-manager/rf-ceb611781287a321a242,30,Madrid (Híbrido),Jefe de Proyecto,Jornada completa,2 años,Indefinido,,
.NET Developer Junior,https://www.tecnoempleo.com/net-developer-junior-hibrido/net-azure-python-java-etl/rf-a7861cd6d2dbd3f21a40,116,Madrid (Híbrido),Programador,Jornada completa,3 años,Indefinido,,
IT Portfolio Manager,https://www.tecnoempleo.com/it-portfolio-manager-hibrido/it-controlling/rf-67ff1005c26093b09f48,23,Madrid (Híbrido),Consultor,Jornada completa,3 años,Indefinido,48000,60000
Administrador de Sistemas Linux-Proyecto,https://www.tecnoempleo.com/administrador-sistemas-linux-proyecto-madrid/linux-administration-centos-r/rf-dd291ef952c233b68441,77,"Madrid											
											 - España",Administrador,Jornada completa,3 años,Indefinido,,
Desarrollador .Net (h/m/d),https://www.tecnoempleo.com/desarrollador-net-h-m-d-zaragoza/net-sql-server/rf-77a9142a1234c31d3945,37,"Zaragoza											
											 - España",Programador,Jornada completa,1 año,Indefinido,,
Senior Data Scientist,https://www.tecnoempleo.com/senior-data-scientist-barcelona/sql-python-ec2-aws/rf-31ae1393f2cc0396e94e,12,"Barcelona											
											 - España",Big Data,Jornada completa,3-5 años,Indefinido,48000,60000
Software Product Manager (h/m),https://www.tecnoempleo.com/software-product-manager-h-m-bizkaia/pmp/rf-df191ab2e28e838e4642,9,"Bilbao -  
											
											Bizkaia											
											 - España",Jefe de Proyecto,Jornada completa,3-5 años,Indefinido,,
IT Business developer,https://www.tecnoempleo.com/it-business-developer-hibrido/ciberseguridad-big-data-inteligencia-artific/rf-bef316c2424073210d4b,33,Madrid (Híbrido),Comercial,Jornada completa,3 años,Indefinido,,
Ingeniero en Oficina Técnica,https://www.tecnoempleo.com/ingeniero-en-oficina-tecnica-castellon/autocad/rf-81491d60c2f1830d6c46,20,"Castellón, Castellón -  
											
											Castellón											
España",Ingenieros/Industria,Jornada completa,1 año,Indefinido,,
Ingeniero de Software Delphi,https://www.tecnoempleo.com/ingeniero-software-delphi-hibrido/delphi/rf-709219e1d2dbd33fb848,21,Alicante (Híbrido),Programador,Jornada completa,2 años,Indefinido,30000,33000
Ingeniero/a de calidad sector Industrial,https://www.tecnoempleo.com/ingeniero-calidad-sector-industrial-barcelona/calidad-ingenieria-industria/rf-c79816ceb24f13957c45,4,"Barcelona											
											 - España",Ingenieros/Industria,Jornada completa,3 años,Indefinido,,
Desarrollador Backend PHP,https://www.tecnoempleo.com/desarrollador-backend-php-presencial/php-laravel/rf-58dc171b526373351b46,45,Almería (Presencial),Programador,Jornada completa,2 años,Indefinido,,
RENAULT - Jornadas Ingeniería I+D+i,https://www.tecnoempleo.com/renault-jornadas-ingenieria-i-d-i-valladolid/telecomunicaciones-electronic/rf-6bc21c3c62dc93b3af43,17,"Valladolid											
											 - España",I+D,Jornada completa,1 año,Indefinido,,
Analista Programador (SQL Server/ ASP 3.0),https://www.tecnoempleo.com/analista-programador-sql-server-asp-30-madrid/sql-server-asp-30/rf-fc3d1c82826643e0be44,65,100% En remoto,Programador,Jornada completa,3 años,Indefinido,,
Software engineer (setor industrial),https://www.tecnoempleo.com/software-engineer-setor-industrial-hibrido/ignition-siemens-xhq-aveva-mes/rf-59b715f53277a3d68347,22,Barcelona (Híbrido),Ingenieros/Industria,Jornada completa,1 año,Indefinido,,
Desarrollador SQL SERVER/ASP (Remoto 100%),https://www.tecnoempleo.com/desarrollador-sql-server-asp-remoto-100-madrid/asp-sql-sql-server-c-javasc/rf-295612d102324328934a,183,100% En remoto,Programador,Jornada completa,2 años,Indefinido,,
Engineering Battery Leader,https://www.tecnoempleo.com/engineering-battery-leader-hibrido/simulacion-digital/rf-e07b1cb3e2a2d3f16a44,4,Valladolid (Híbrido),Ingenieros/Industria,Jornada completa,3 años,Indefinido,,
Software Development Manager Java/C++,https://www.tecnoempleo.com/software-development-manager-java-c-hibrido/java-c/rf-efee1f35f26ff34ee943,7,Madrid (Híbrido),Jefe de Equipo,Jornada completa,Más de 5 años,Indefinido,,
Technical Leader .Net (REMOTE),https://www.tecnoempleo.com/technical-leader-net-remote-madrid/angular-net/rf-10eb1420626073c4474e,38,100% En remoto,Programador,Jornada completa,3-5 años,Indefinido,,
Data Engineer,https://www.tecnoempleo.com/data-engineer-sevilla/bigquery-dataflow/rf-71b71ff8920ba3228948,11,"Sevilla											
											 - España",Big Data,Jornada completa,3-5 años,Indefinido,48000,72000
Project Manager Senior,https://www.tecnoempleo.com/project-manager-senior-barcelona/pmp-six-sigma/rf-dfac183f6257738ea74b,7,"Barcelona											
											 - España",Ingenieros/Industria,Jornada completa,Más de 5 años,Indefinido,,
Software Release Manager Cliente Final,https://www.tecnoempleo.com/software-release-manager-cliente-final-hibrido/safe-jira/rf-025119f86227d3fdb04a,12,Madrid (Híbrido),Jefe de Equipo,Jornada completa,Más de 5 años,Indefinido,,
Desarrollador/a .NET (h/m),https://www.tecnoempleo.com/desarrollador-net-h-m-hibrido/net-c/rf-c40c15b3427453e9c04d,15,Navarra (Híbrido),Programador,Jornada completa,2 años,Indefinido,,
Project Manager Business Central,https://www.tecnoempleo.com/project-manager-business-central-barcelona/business-central/rf-f95c199992b883785a49,14,"Barcelona											
											 - España",Jefe de Equipo,Jornada completa,3-5 años,Indefinido,39000,60000
Ingeniero Automatización PLC,https://www.tecnoempleo.com/ingeniero-automatizacion-plc-segovia/plc/rf-490b15e26216431c1f42,7,"Segovia											
											 - España",Ingenieros/Industria,Jornada completa,Más de 5 años,Indefinido,,
Product Manager - Insurtech Company,https://www.tecnoempleo.com/product-manager-insurtech-company-hibrido/figma-confluence-jira/rf-a65c1a27029f93ca2646,19,Barcelona (Híbrido),Jefe de Proyecto,Jornada completa,3 años,Indefinido,39000,48000
Head of Product SaaS Startup,https://www.tecnoempleo.com/head-of-product-saas-startup-hibrido/saas/rf-4cfa1bfc02e823d4d549,4,Barcelona (Híbrido),Jefe de Proyecto,Jornada completa,3 años,Indefinido,,
Desarrollador Oracle ERP Cloud,https://www.tecnoempleo.com/desarrollador-oracle-erp-cloud-hibrido/oracle-net/rf-f261122c421b8324164f,2,Bizkaia (Híbrido),Programador,Jornada completa,3 años,Indefinido,,
Product Owner,https://www.tecnoempleo.com/product-owner-madrid/api/rf-7e0e175f229533f53341,9,"Madrid											
											 - España",Responsable de Producto,Jornada completa,3 años,Indefinido,,
Perfil Assurance,https://www.tecnoempleo.com/perfil-assurance-hibrido/sistemas-politicas-controles-seguridad-auditoria/rf-79271a73a21153047044,12,Madrid (Híbrido),Auditor,Jornada completa,2 años,Indefinido,,
Desarrollador C#,https://www.tecnoempleo.com/desarrollador-c-barcelona/c-navision/rf-33f3113112e0e3399347,27,"Barcelona											
											 - España",Programador,Jornada completa,2 años,Indefinido,30000,45000
Desarrollador/a Fullstack,https://www.tecnoempleo.com/desarrollador-fullstack-hibrido/angular-react-nodejs/rf-a09e103e92ada31e0745,35,Madrid (Híbrido),Desarrollador Web,Jornada completa,Más de 5 años,Indefinido,,
Full Stack developer (Laravel + Vue),https://www.tecnoempleo.com/full-stack-developer-laravel-vue-hibrido/laravel-vue/rf-99261ab2227ea3073644,73,Barcelona (Híbrido),Programador,Jornada completa,2 años,Indefinido,30000,36000
QA Java/Selenium/Jira (REMOTO),https://www.tecnoempleo.com/qa-java-selenium-jira-remoto-remoto/java-selenium-jira-microfocus-alm/rf-0185182462e713a3244f,90,100% En remoto,Tester,Jornada completa,3-5 años,Indefinido,,
Operaciones IT / Coordinador,https://www.tecnoempleo.com/operaciones-it-coordinador-hibrido/pmp-agile/rf-202517c542ad13d04b4e,38,Madrid (Híbrido),Jefe de Proyecto,Jornada completa,3-5 años,Indefinido,39000,48000
Ingeniero/a de despliegue,https://www.tecnoempleo.com/ingeniero-despliegue-hibrido/sql-iis-python/rf-4b6d1f03a20103fc224d,13,Valladolid (Híbrido),Técnico de Sistemas,Jornada completa,3 años,Indefinido,,
Ingeniero de Equipos Industriales 4.0,https://www.tecnoempleo.com/ingeniero-equipos-industriales-40-bizkaia/ingenieria-industrial/rf-5b7916c8923a032ad044,1,"Bizkaia											
											 - España",Ingenieros/Industria,Jornada completa,3-5 años,Indefinido,,
Software Project Leader,https://www.tecnoempleo.com/software-project-leader-valladolid/software/rf-bf561ee502cf73d4bb4d,2,"Valladolid											
											 - España",Ingenieros/Industria,Jornada completa,3-5 años,Indefinido,,
Data Scientist,https://www.tecnoempleo.com/data-scientist-hibrido/data-python-sql-git/rf-927617433227b306b84f,63,Madrid (Híbrido),Big Data,Jornada completa,2 años,Indefinido,,
Salesforce Marketing Cloud Architect,https://www.tecnoempleo.com/salesforce-marketing-cloud-architect-barcelona/salesforce-marketing-cloud/rf-6026135862f5a3d73848,5,"Barcelona											
											 - España",Marketing,Jornada completa,3 años,Indefinido,,
Técnico Helpdesk,https://www.tecnoempleo.com/tecnico-helpdesk-madrid/helpdesk/rf-d91d15fd129913275e4b,272,"Madrid											
											 - España",Administrador,Jornada completa,3-5 años,Indefinido,,
Ingeniero/a de software Junior,https://www.tecnoempleo.com/ingeniero-software-junior-hibrido/net-c-asp-net-mvc-angular/rf-a61d1e38929773edf840,312,Madrid (Híbrido),Programador,Jornada completa,Sin Experiencia,Indefinido,,
"Platform Engineer (DevOps, Cloud)",https://www.tecnoempleo.com/platform-engineer-devops-cloud-remoto/kubernetes-amazon-web-services-linux/rf-6d9e1155427c0309ab47,64,100% En remoto,Arquitecto TIC,Jornada completa,3 años,Indefinido,,
Director IT SAP,https://www.tecnoempleo.com/director-it-sap-lava/sap-sql/rf-72ed13bde28473e60b4c,16,"Álava											
											 - España",Jefe de Equipo,Jornada completa,Más de 5 años,Indefinido,,
Senior Consultant SAP PM,https://www.tecnoempleo.com/senior-consultant-sap-pm-barcelona/sap-sap-pm/rf-49cd1ab632b8b305eb4b,9,"Barcelona											
											 - España",Consultor,Jornada completa,Más de 5 años,Indefinido,,
Senior Consultant SAP PM,https://www.tecnoempleo.com/senior-consultant-sap-pm-barcelona/sap-sap-pm/rf-c68d14c2b283f3057d4f,6,"Barcelona											
											 - España",Consultor,Jornada completa,Más de 5 años,Indefinido,,
Junior Frontend Developer,https://www.tecnoempleo.com/junior-frontend-developer-presencial/javascript-css-html/rf-1b301c3bb28b3306c44a,431,Girona (Presencial),Programador,Jornada completa,Sin Experiencia,Indefinido,,
Consultor junior Power BI,https://www.tecnoempleo.com/consultor-junior-power-bi-hibrido/power-bi-metabase/rf-fb2f1c3c32f473e89a4b,113,Madrid (Híbrido),Consultor,Jornada completa,1 año,Indefinido,,
Consultor funcional reporting,https://www.tecnoempleo.com/consultor-funcional-reporting-hibrido/power-bi-reporting/rf-416c154c724183d37a49,25,Madrid (Híbrido),Consultor,Jornada completa,1 año,Indefinido,16000,27000
Consultor/a Qlik Business Analyst,https://www.tecnoempleo.com/consultor-qlik-business-analyst-zaragoza/qlik-qlik-sense/rf-8310102d72e0932d0e45,23,"Zaragoza											
											 - España",Analista,Jornada completa,2 años,Indefinido,,
Analista Programador Java,https://www.tecnoempleo.com/analista-programador-java-madrid/java-javascript-j2ee-json-xml-html-pl-sql/rf-2ee8y6269nb5823e051f,511,"Madrid											
											 - España",Analista Programador,Jornada completa,1 año,Indefinido,,
Técnico de sistemas L2,https://www.tecnoempleo.com/tecnico-sistemas-l2-hibrido/aws/rf-1ea31b51b229e3a3ce4d,48,Madrid (Híbrido),Técnico de Sistemas,Jornada completa,2 años,Indefinido,24000,36000
Node.JS Developer,https://www.tecnoempleo.com/nodejs-developer-espana/node-react-angular/rf-68fa1035425993168548,95,España,Programador,Jornada completa,2 años,Indefinido,,
Arquitecto/a de Software,https://www.tecnoempleo.com/arquitecto-software-hibrido/java-net/rf-fffc11cfe29773a48a4a,3,Cantabria (Híbrido),Arquitecto TIC,Jornada completa,3 años,Indefinido,,
Full Stack developer (Laravel + Vue),https://www.tecnoempleo.com/full-stack-developer-laravel-vue-hibrido/laravel-vue/rf-31c51ded42e413b3d645,64,Barcelona (Híbrido),Programador,Jornada completa,2 años,Indefinido,30000,36000
Cloud Developer,https://www.tecnoempleo.com/cloud-developer-hibrido/aws-azure-python-java-nodejs/rf-a22913a68296f31bab49,19,Valencia (Híbrido),Desarrollador Web,Jornada completa,3-5 años,Indefinido,45000,60000
Analista ciberseguridad (discapacidad),https://www.tecnoempleo.com/analista-ciberseguridad-discapacidad-hibrido/ciberseguridad-siem/rf-fc2d115cd299a314204b,31,Madrid (Híbrido),Ciberseguridad,Jornada completa,1 año,Indefinido,27000,30000
Responsable Control de Gestión y TIC,https://www.tecnoempleo.com/responsable-control-gestion-tic-bizkaia/erp-hardware/rf-fdd11974c209e39c614f,18,"Bilbao -  
											
											Bizkaia											
											 - España",Consultor,Jornada completa,Más de 5 años,Indefinido,,
Network Team Leader CCNP,https://www.tecnoempleo.com/network-team-leader-ccnp-hibrido/ccnp-lan-wan/rf-6a84191172c28329154d,11,Madrid (Híbrido),Redes,Jornada completa,3-5 años,Indefinido,,
PMO IT,https://www.tecnoempleo.com/pmo-it-presencial/pmo/rf-76e118cb6258a3a20c40,10,Córdoba (Presencial),Jefe de Proyecto,Jornada completa,3 años,Indefinido,,
IT support L2,https://www.tecnoempleo.com/it-support-l2-barcelona/ticketing-jira/rf-144c1e3bf23ff3950d4d,38,"Sant Cugat Del Vallès -  
											
											Barcelona											
España",Soporte Técnico,Jornada completa,2 años,Indefinido,21000,27000
Tecnico/a Senior de Seguridad Perimetral,https://www.tecnoempleo.com/tecnico-senior-seguridad-perimetral-asturias/seguridad-tcp-ip-nat-dmz-fire/rf-af9b165602f553b4fc45,72,"Oviedo -  
											
											Asturias											
											 - España",Redes,Jornada completa,2 años,Indefinido,,
SRE/Cloud Administrator,https://www.tecnoempleo.com/sre-cloud-administrator-hibrido/azure-aws/rf-4a761cb962b0935d8446,20,Valencia (Híbrido),Administrador,Jornada completa,3 años,Indefinido,45000,54000
Head of Digital,https://www.tecnoempleo.com/head-of-digital-madrid/marketing-seo/rf-6de8169df29e93ff674a,49,"Madrid											
											 - España",Marketing,Jornada completa,Más de 5 años,Indefinido,60000,72000
Developer Coordinator Renewable Project,https://www.tecnoempleo.com/developer-coordinator-renewable-project-madrid/pvsyst-pvdesign-wasp-windpr/rf-9c131996927333289e44,6,"Madrid											
											 - España",Ingenieros/Industria,Jornada completa,Más de 5 años,Indefinido,,
Responsable Desarrollo Frontend,https://www.tecnoempleo.com/responsable-desarrollo-frontend-hibrido/vue-node-swift-kotlin/rf-dc60190de234331c5946,17,Madrid (Híbrido),Jefe de Proyecto,Jornada completa,2 años,Indefinido,45000,54000
Consultor/a senior ciberseguridad,https://www.tecnoempleo.com/consultor-senior-ciberseguridad-madrid/ciberseguridad/rf-babd182692d123f6dc40,22,"Madrid											
											 - España",Ciberseguridad,Jornada completa,3 años,Indefinido,,
Especialista en Marketing Digital (H/M),https://www.tecnoempleo.com/especialista-en-marketing-digital-h-m-zaragoza/seo-cms/rf-d7c71d9d3256a3b27749,49,"Zaragoza Ciudad -  
											
											Zaragoza											
España",Marketing,Jornada completa,2 años,Indefinido,,
Senior Manager Programmatic and Insight,https://www.tecnoempleo.com/senior-manager-programmatic-and-insight-madrid/programmatic-marketing/rf-71321693c2a4a39f6e42,11,"Madrid											
											 - España",Marketing,Jornada completa,Más de 10 años,Indefinido,60000,72000
NAV Developer,https://www.tecnoempleo.com/nav-developer-hibrido/navision-business-central-dynamics-fo/rf-9d6c199fa2dc33eef04e,4,Valencia (Híbrido),Analista Programador,Jornada completa,Más de 5 años,Indefinido,45000,54000
Responsable Oficina Projectos IT,https://www.tecnoempleo.com/responsable-oficina-projectos-it-madrid/proyectos-it/rf-274110e0928e43e19743,48,"Madrid											
											 - España",Jefe de Proyecto,Jornada completa,Más de 5 años,Indefinido,54000,60000
QA Engineer/ QA Tech Lead (h/m/d),https://www.tecnoempleo.com/qa-engineer-qa-tech-lead-h-m-d-zaragoza/qa-python-pytest/rf-02191d7c12666363c840,14,"Zaragoza											
											 - España",Jefe de Equipo,Jornada completa,Más de 5 años,Indefinido,,
Analista/Arquitecto Senior (Appian),https://www.tecnoempleo.com/analista-arquitecto-senior-appian-madrid/appian-lowcode/rf-ab871348f2a6733c4243,13,"Madrid											
											 - España",Analista,Jornada completa,2 años,Indefinido,48000,54000
Identity and Access Management Expert,https://www.tecnoempleo.com/identity-and-access-management-expert-madrid/iam-o365-azure/rf-92a71e7322c513ecee42,10,"Madrid											
											 - España",Ciberseguridad,Jornada completa,Más de 5 años,Indefinido,60000,74000
Consultor Funcional SAP PP (H/M/D),https://www.tecnoempleo.com/consultor-funcional-sap-pp-h-m-d-valencia/sap-sap-pp/rf-49ca126a32bdd3d95845,7,"Valencia											
											 - España",Consultor,Jornada completa,3 años,Indefinido,30000,42000
Ingeniero SW Embebido (h/m),https://www.tecnoempleo.com/ingeniero-sw-embebido-h-m-bizkaia/c-c/rf-eb4e181762d5c353b447,10,"Bilbao -  
											
											Bizkaia											
											 - España",Electrónica,Jornada completa,Más de 5 años,Indefinido,,
